"Code","Name","Awaiting completion of assessment","Awaiting public funding","Awaiting further NHS non-acute care","Awaiting residential home placement or availability","Awaiting nursing home placement or availability","Awaiting care package in own home","Awaiting community equipment and adaptations","Patient or family choice","Disputes","Housing - Patients not covered by NHS and Community Care Act","Other","Total Delayed Transfers of Care","Period"
"-","England","15076","3994","25624","15865","17100","25051","3814","16223","892","5610","1524","130773","April 2019"
"E06000015","Derby","15","38","118","31","25","7","9","103","29","5","0","380","April 2019"
"E10000007","Derbyshire","122","12","262","48","117","176","14","100","2","11","0","864","April 2019"
"E06000016","Leicester","7","43","51","64","47","20","11","87","15","61","0","406","April 2019"
"E10000018","Leicestershire","127","66","210","260","114","83","13","134","0","19","8","1034","April 2019"
"E10000019","Lincolnshire","63","17","331","69","55","342","69","182","13","55","30","1226","April 2019"
"E10000021","Northamptonshire","792","64","603","445","149","669","9","73","0","88","0","2892","April 2019"
"E06000018","Nottingham","46","3","497","0","34","144","2","462","4","104","0","1296","April 2019"
"E10000024","Nottinghamshire","137","18","851","16","100","78","50","156","15","56","21","1498","April 2019"
"E06000017","Rutland","18","7","0","5","0","0","0","0","0","0","0","30","April 2019"
"E06000055","Bedford","9","5","70","97","14","161","2","21","0","0","0","379","April 2019"
"E10000003","Cambridgeshire","19","83","407","148","362","789","54","227","16","9","0","2114","April 2019"
"E06000056","Central Bedfordshire","43","28","117","78","16","147","5","74","0","0","0","508","April 2019"
"E10000012","Essex","111","28","539","291","317","417","77","425","0","304","0","2509","April 2019"
"E10000015","Hertfordshire","133","123","415","684","213","500","41","439","5","0","0","2553","April 2019"
"E06000032","Luton","16","10","54","34","0","0","0","71","12","0","0","197","April 2019"
"E10000020","Norfolk","127","73","304","588","277","325","21","322","0","116","2","2155","April 2019"
"E06000031","Peterborough","1","10","123","32","84","60","16","93","0","46","0","465","April 2019"
"E06000033","Southend","1","0","54","30","10","17","4","31","0","0","0","147","April 2019"
"E10000029","Suffolk","179","0","273","285","136","507","52","225","0","81","23","1761","April 2019"
"E06000034","Thurrock","16","0","77","5","0","18","3","15","0","0","0","134","April 2019"
"E09000002","Barking & Dagenham","16","25","50","31","16","4","36","47","10","21","0","256","April 2019"
"E09000003","Barnet","87","100","156","21","116","101","25","149","18","20","0","793","April 2019"
"E09000004","Bexley","46","41","52","0","53","33","28","69","0","36","0","358","April 2019"
"E09000005","Brent","10","16","22","145","276","65","37","98","59","154","30","912","April 2019"
"E09000006","Bromley","72","12","2","78","1","16","0","5","0","0","0","186","April 2019"
"E09000007","Camden","0","5","9","33","55","69","7","29","0","0","17","224","April 2019"
"E09000008","Croydon","0","54","45","138","160","41","32","61","0","17","0","548","April 2019"
"E09000009","Ealing","32","45","62","100","87","15","16","99","0","0","27","483","April 2019"
"E09000010","Enfield","2","2","185","13","0","6","22","68","0","5","0","303","April 2019"
"E09000011","Greenwich","21","38","29","23","54","30","31","60","0","37","0","323","April 2019"
"E09000012","Hackney","89","1","30","75","129","96","31","103","0","14","0","568","April 2019"
"E09000013","Hammersmith & Fulham","29","28","66","21","80","32","4","7","21","27","0","315","April 2019"
"E09000014","Haringey","80","2","97","36","31","29","0","3","0","30","0","308","April 2019"
"E09000015","Harrow","3","1","50","55","85","0","10","40","28","28","29","329","April 2019"
"E09000016","Havering","54","3","106","0","14","63","36","53","4","6","0","339","April 2019"
"E09000017","Hillingdon","16","0","42","12","102","24","75","23","0","36","0","330","April 2019"
"E09000018","Hounslow","2","17","87","58","79","15","10","78","0","24","0","370","April 2019"
"E09000019","Islington","66","11","52","49","148","27","4","20","7","17","27","428","April 2019"
"E09000020","Kensington & Chelsea","0","30","33","9","49","7","0","14","0","18","0","160","April 2019"
"E09000021","Kingston Upon Thames","16","7","77","0","0","5","0","14","0","0","0","119","April 2019"
"E09000022","Lambeth","114","12","45","166","268","26","13","167","0","31","0","842","April 2019"
"E09000023","Lewisham","186","84","5","58","36","14","18","82","0","3","0","486","April 2019"
"E09000024","Merton","7","0","9","37","26","15","0","14","0","0","0","108","April 2019"
"E09000025","Newham","75","4","73","51","58","2","17","87","0","56","0","423","April 2019"
"E09000026","Redbridge","35","28","118","25","22","20","22","91","12","0","0","373","April 2019"
"E09000027","Richmond Upon Thames","66","0","160","9","28","4","0","68","0","0","0","335","April 2019"
"E09000028","Southwark","46","1","113","90","192","5","37","57","0","36","0","577","April 2019"
"E09000029","Sutton","1","0","5","0","0","97","0","12","0","0","0","115","April 2019"
"E09000030","Tower Hamlets","207","50","67","74","129","16","38","75","0","27","0","683","April 2019"
"E09000031","Waltham Forest","162","28","98","24","97","115","21","10","0","140","0","695","April 2019"
"E09000032","Wandsworth","15","0","112","63","12","7","4","93","0","5","0","311","April 2019"
"E09000033","Westminster","8","57","23","66","30","2","2","71","0","40","60","359","April 2019"
"E06000005","Darlington","10","0","13","0","13","0","0","6","0","7","0","49","April 2019"
"E06000047","Durham","44","2","98","9","27","37","0","19","0","0","0","236","April 2019"
"E08000037","Gateshead","8","15","35","20","11","52","24","73","0","28","0","266","April 2019"
"E06000001","Hartlepool","10","3","3","7","41","0","0","3","0","0","0","67","April 2019"
"E06000002","Middlesbrough","117","1","160","32","11","48","16","15","0","81","0","481","April 2019"
"E08000021","Newcastle Upon Tyne","0","0","40","83","28","42","11","61","0","0","0","265","April 2019"
"E08000022","North Tyneside","0","0","60","0","0","19","6","6","0","0","0","91","April 2019"
"E06000057","Northumberland","0","0","75","0","91","108","0","111","0","0","0","385","April 2019"
"E06000003","Redcar & Cleveland","96","4","189","25","41","62","25","22","0","0","0","464","April 2019"
"E08000023","South Tyneside","0","30","27","52","0","64","11","18","4","41","0","247","April 2019"
"E06000004","Stockton On Tees","30","0","104","79","36","21","3","22","0","30","0","325","April 2019"
"E08000024","Sunderland","17","0","10","91","6","53","0","41","0","45","0","263","April 2019"
"E06000008","Blackburn With Darwen","76","0","95","13","44","19","6","69","0","0","0","322","April 2019"
"E06000009","Blackpool","99","0","5","18","41","45","5","5","0","4","30","252","April 2019"
"E08000001","Bolton","129","0","324","8","127","217","15","24","0","0","0","844","April 2019"
"E08000002","Bury","76","0","18","3","99","65","6","66","0","23","0","356","April 2019"
"E06000049","Cheshire East","62","2","206","153","199","218","39","156","0","1","68","1104","April 2019"
"E06000050","Cheshire West And Chester","28","48","98","86","182","343","9","61","0","0","30","885","April 2019"
"E10000006","Cumbria","627","24","108","135","279","533","51","1","0","118","210","2086","April 2019"
"E06000006","Halton","0","0","36","0","56","97","0","205","0","4","0","398","April 2019"
"E08000011","Knowsley","12","60","45","88","40","26","4","86","0","16","0","377","April 2019"
"E10000017","Lancashire","1106","152","377","388","410","477","102","634","51","50","0","3747","April 2019"
"E08000012","Liverpool","42","25","166","230","205","184","89","274","15","68","222","1520","April 2019"
"E08000003","Manchester","548","183","253","166","300","358","53","240","0","130","21","2252","April 2019"
"E08000004","Oldham","82","0","72","105","65","5","10","54","0","133","0","526","April 2019"
